Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.4797297297297297,8.26701021194458,0.21702098846435547,41.81132075471698,[0.46209386 0.24368231 0.29422383]
1,0.5034013605442177,8.199374675750732,0.162003755569458,43.51432880844646,[0.4627383  0.24436742 0.29289428]
2,0.5067567567567568,8.444020509719849,0.16496706008911133,43.84905660377358,[0.48020654 0.232358   0.28743546]
3,0.45517241379310347,8.840031385421753,0.160003662109375,40.21084337349398,[0.50374532 0.2340824  0.26217228]
4,0.46258503401360546,8.344720840454102,0.20665812492370605,42.30769230769231,[0.48128342 0.23351159 0.28520499]
5,0.5374149659863946,8.012850999832153,0.15855646133422852,41.02564102564103,[0.47058824 0.23897059 0.29044118]
6,0.47651006711409394,8.656485795974731,0.1930077075958252,42.14501510574018,[0.44982079 0.24910394 0.30107527]
7,0.3945578231292517,8.140957593917847,0.16404390335083008,42.458521870286575,[0.47246892 0.24866785 0.27886323]
8,0.5238095238095238,8.074651002883911,0.19706344604492188,41.25188536953243,[0.46983547 0.23948812 0.29067642]
9,0.4864864864864865,8.03539490699768,0.26682186126708984,39.24528301886792,[0.46730769 0.25       0.28269231]
Folds Average,0.4826424161363164,8.301549792289734,0.18901469707489013,41.78195882381915,[]
