Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.47297297297297297,150.3522868156433,0.06601548194885254,24.9811320754717,[0.51661631 0.17824773 0.30513595]
1,0.5238095238095238,151.09205770492554,0.07102489471435547,27.978883861236802,[0.5148248 0.1967655 0.2884097]
2,0.4391891891891892,149.00634741783142,0.06801366806030273,25.433962264150942,[0.4925816  0.18397626 0.32344214]
3,0.5241379310344828,149.6483018398285,0.07301616668701172,29.216867469879517,[0.4742268  0.19587629 0.32989691]
4,0.5034013605442177,148.28593373298645,0.07201695442199707,28.582202111613878,[0.48021108 0.2348285  0.28496042]
5,0.54421768707483,150.41286730766296,0.06701517105102539,25.49019607843137,[0.50295858 0.16863905 0.32840237]
6,0.6241610738255033,146.20268273353577,0.07001543045043945,26.812688821752264,[0.50140845 0.2        0.29859155]
7,0.4965986394557823,153.55626821517944,0.06601476669311523,25.414781297134237,[0.51335312 0.16617211 0.32047478]
8,0.5374149659863946,149.7776117324829,0.07001566886901855,26.470588235294116,[0.47008547 0.19088319 0.33903134]
9,0.4391891891891892,150.5342628955841,0.06801080703735352,26.566037735849058,[0.46875    0.19886364 0.33238636]
Folds Average,0.5105092533082087,149.88686203956604,0.06911590099334716,26.69473399508139,[]
