Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.5472972972972973,7.615405559539795,0.19497323036193848,68.22641509433963,[0.4789823  0.20243363 0.31858407]
1,0.5034013605442177,7.562290668487549,0.19000458717346191,66.7420814479638,[0.47683616 0.21694915 0.30621469]
2,0.5202702702702703,7.724876403808594,0.2027273178100586,69.88679245283019,[0.46436285 0.21166307 0.32397408]
3,0.5448275862068965,7.496215343475342,0.22504186630249023,65.88855421686748,[0.47771429 0.20914286 0.31314286]
4,0.4897959183673469,7.57358455657959,0.18598222732543945,67.57164404223228,[0.4765625  0.20089286 0.32254464]
5,0.5714285714285714,7.567471742630005,0.18874406814575195,66.44042232277526,[0.47900114 0.20658343 0.31441544]
6,0.5234899328859061,7.458985805511475,0.18499255180358887,66.54078549848943,[0.46651532 0.20998865 0.32349603]
7,0.46258503401360546,8.272714376449585,0.4316434860229492,65.76168929110105,[0.48509174 0.21444954 0.30045872]
8,0.5578231292517006,12.266230821609497,0.35199642181396484,66.36500754147814,[0.47840909 0.20909091 0.3125    ]
9,0.5337837837837838,13.15755009651184,0.24221396446228027,66.79245283018868,[0.47231638 0.21242938 0.31525424]
Folds Average,0.5254702884049596,8.669532537460327,0.23983197212219237,67.02158447382661,[]
