Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.49324324324324326,28.5258731842041,0.17904114723205566,70.49056603773585,[0.38650964 0.25588865 0.35760171]
1,0.4421768707482993,27.626839876174927,0.14403271675109863,69.30618401206637,[0.38302503 0.25353645 0.36343852]
2,0.4797297297297297,27.739733934402466,0.1470332145690918,69.58490566037736,[0.38503254 0.26355748 0.35140998]
3,0.45517241379310347,28.443819999694824,0.17436718940734863,70.18072289156626,[0.38519313 0.25214592 0.36266094]
4,0.47619047619047616,27.49332880973816,0.1470322608947754,68.85369532428356,[0.38116101 0.26177437 0.35706462]
5,0.5102040816326531,27.504706144332886,0.14803338050842285,69.6078431372549,[0.37811484 0.25785482 0.36403034]
6,0.5503355704697986,28.010374546051025,0.17503952980041504,69.5619335347432,[0.38436482 0.25732899 0.35830619]
7,0.47619047619047616,27.73262619972229,0.14603304862976074,69.00452488687783,[0.38360656 0.25355191 0.36284153]
8,0.4897959183673469,28.497934103012085,0.1490335464477539,70.43740573152338,[0.38543897 0.25374732 0.3608137 ]
9,0.44594594594594594,28.01148271560669,0.17329144477844238,69.73584905660377,[0.38961039 0.25649351 0.3538961 ]
Folds Average,0.4818984726311072,27.958671951293944,0.1582937479019165,69.67636302730325,[]
