Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.9004665629860031,36.11318254470825,3.2397329807281494,98.39433701657458,[0.24091946 0.10844008 0.20635199 0.09668363 0.11037024 0.2372346 ]
1,0.9175738724727839,34.93076515197754,3.253736972808838,98.22168508287292,[0.24151872 0.1077518  0.20689049 0.09615047 0.11021269 0.23747583]
2,0.9116279069767442,34.59146595001221,3.194722890853882,98.29015544041451,[0.24143384 0.1084168  0.20664207 0.09664382 0.10947109 0.23739237]
3,0.9160186625194401,34.70481204986572,3.244734287261963,98.54972375690608,[0.24071479 0.10774352 0.20812894 0.09723196 0.10949544 0.23668535]
4,0.9236760124610592,35.00514483451843,3.2927443981170654,98.6017607457276,[0.24089636 0.10836835 0.20710784 0.09751401 0.11029412 0.23581933]
5,0.8945736434108527,35.247596979141235,3.2057244777679443,98.27288428324698,[0.24200351 0.10738137 0.20650264 0.09666081 0.11036907 0.2370826 ]
6,0.9253499222395023,35.38494348526001,3.242053270339966,98.2907458563536,[0.24064641 0.10873002 0.20727209 0.09660987 0.10925698 0.23748463]
7,0.9148606811145511,35.6522798538208,3.2929749488830566,98.47987562618759,[0.24118576 0.10875285 0.2085599  0.09594808 0.10910367 0.23644975]
8,0.9004665629860031,35.39422082901001,3.234729051589966,98.46339779005525,[0.24110117 0.10871471 0.20743468 0.09644047 0.10959144 0.23671752]
9,0.9143302180685359,36.50726008415222,3.2367496490478516,98.1874676333506,[0.24226442 0.10847398 0.20552039 0.09616737 0.11040788 0.23716596]
Folds Average,0.9118944045235475,35.35316717624664,3.243790292739868,98.37520332316896,[]
