Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.4401244167962675,31.43744730949402,0.6261415481567383,10.87707182320442,[0.04603175 0.05555556 0.17142857 0.29365079 0.13174603 0.3015873 ]
1,0.4463452566096423,31.18505573272705,0.6281421184539795,10.583563535911603,[0.05220228 0.05057096 0.1680261  0.31973899 0.13213703 0.27732463]
2,0.4496124031007752,31.06647825241089,0.6301424503326416,11.018998272884284,[0.05015674 0.05015674 0.18025078 0.29780564 0.13166144 0.28996865]
3,0.4230171073094868,31.747337818145752,0.6281418800354004,10.773480662983426,[0.05929487 0.05448718 0.19070513 0.27884615 0.13141026 0.28525641]
4,0.4158878504672897,30.556556701660156,0.6381444931030273,11.185914034179183,[0.04475309 0.05401235 0.19444444 0.29320988 0.12191358 0.29166667]
5,0.4077519379844961,30.733338832855225,0.623140811920166,10.569948186528498,[0.04738562 0.05718954 0.17973856 0.28267974 0.13398693 0.29901961]
6,0.4199066874027994,31.436136484146118,0.6396512985229492,11.274171270718233,[0.05206738 0.05053599 0.18223583 0.29709035 0.13323124 0.2848392 ]
7,0.4411764705882353,31.07837438583374,0.627143144607544,10.917256866470893,[0.04746835 0.05063291 0.17246835 0.30379747 0.13449367 0.29113924]
8,0.4370139968895801,30.90023636817932,0.6361443996429443,10.99792817679558,[0.04238619 0.05965463 0.17739403 0.28571429 0.14599686 0.288854  ]
9,0.4392523364485981,31.647412300109863,0.6241416931152344,10.685309856723633,[0.05331179 0.05815832 0.1631664  0.30533118 0.14216478 0.27786753]
Folds Average,0.43200884635971704,31.178837418556213,0.6300933837890625,10.888364268639975,[]
