Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.4618973561430793,30.76730966567993,0.657149076461792,12.828038674033149,[0.0538358  0.05114401 0.17900404 0.27590848 0.1345895  0.30551817]
1,0.48522550544323484,30.678735494613647,0.6521475315093994,12.655386740331492,[0.05457026 0.04774898 0.17598909 0.29604366 0.13506139 0.29058663]
2,0.4604651162790698,31.801997900009155,0.66815185546875,13.005181347150259,[0.05179283 0.04780876 0.19521912 0.27622842 0.13678619 0.29216467]
3,0.4510108864696734,31.210147857666016,0.6564147472381592,12.689917127071823,[0.06258503 0.05306122 0.19319728 0.26530612 0.13197279 0.29387755]
4,0.4532710280373832,30.22085213661194,0.6611497402191162,12.929397548765753,[0.0493992  0.05073431 0.18958611 0.28437917 0.13484646 0.29105474]
5,0.4697674418604651,30.46513867378235,0.6461460590362549,12.36614853195164,[0.05586592 0.05167598 0.18435754 0.25977654 0.13826816 0.31005587]
6,0.4727838258164852,31.22288942337036,0.6644370555877686,13.19060773480663,[0.05628272 0.04450262 0.19633508 0.28272251 0.13089005 0.28926702]
7,0.47678018575851394,30.625374794006348,0.6641504764556885,12.921057177405425,[0.04946524 0.04812834 0.18315508 0.28609626 0.13502674 0.29812834]
8,0.447900466562986,30.82505989074707,0.6681506633758545,13.052486187845304,[0.0462963  0.05820106 0.18650794 0.26984127 0.14285714 0.2962963 ]
9,0.48753894080996885,30.96532130241394,0.6576316356658936,12.860348696702918,[0.0590604  0.05100671 0.17315436 0.28187919 0.14228188 0.29261745]
Folds Average,0.4666640753180859,30.878282713890076,0.6595528841018676,12.849856976606441,[]
