Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.9004665629860031,34.74039149284363,2.5028209686279297,84.80662983425414,[0.23228827 0.09751629 0.21579805 0.10688111 0.11135993 0.23615635]
1,0.9175738724727839,34.4888334274292,2.4935638904571533,84.25414364640883,[0.23463115 0.0942623  0.2170082  0.10901639 0.11188525 0.23319672]
2,0.9116279069767442,34.14398169517517,2.5045669078826904,84.853195164076,[0.23468349 0.09159373 0.21819662 0.10706289 0.11215143 0.23631183]
3,0.9129082426127527,34.93977689743042,2.5455756187438965,84.94475138121547,[0.23373984 0.09410569 0.21829268 0.10833333 0.10995935 0.23556911]
4,0.9236760124610592,33.8934383392334,2.513855218887329,84.5848437769722,[0.23020408 0.09571429 0.2177551  0.10897959 0.11163265 0.23571429]
5,0.896124031007752,34.07309126853943,2.516568660736084,85.30224525043178,[0.23000607 0.09698319 0.21947763 0.10609435 0.11034622 0.23709253]
6,0.9222395023328149,35.09836196899414,2.5185680389404297,84.375,[0.23081645 0.09658277 0.21874361 0.10845099 0.11090649 0.23449969]
7,0.913312693498452,34.684935092926025,2.511564254760742,84.78148212126446,[0.23125509 0.09576202 0.2196414  0.10656072 0.11145069 0.23533007]
8,0.8926905132192846,35.21256947517395,2.523571014404297,84.34046961325967,[0.23009212 0.09539406 0.21924258 0.10747185 0.11177073 0.23602866]
9,0.9174454828660437,34.92916774749756,2.5115671157836914,84.10150181253236,[0.23706897 0.09421182 0.21408046 0.10796388 0.11186371 0.23481117]
Folds Average,0.910806482043369,34.620454740524295,2.5142221689224242,84.63442626004148,[]
