Fold,Accuracy,Reduction_time,Prediction_time,Storage,Distributions
0,0.8009331259720062,31.064037322998047,0.8591940402984619,22.617403314917127,[0.06564885 0.06030534 0.22900763 0.23282443 0.1351145  0.27709924]
1,0.8195956454121306,31.09539771080017,0.8571939468383789,22.703729281767956,[0.06007605 0.05323194 0.22281369 0.24790875 0.13840304 0.27756654]
2,0.8108527131782945,31.196895360946655,0.886474609375,22.797927461139896,[0.06060606 0.06136364 0.23636364 0.22954545 0.13560606 0.27651515]
3,0.7978227060653188,30.875032901763916,0.8551936149597168,22.790055248618785,[0.06893939 0.05151515 0.23333333 0.23181818 0.13106061 0.28333333]
4,0.8052959501557633,30.523252725601196,0.8591945171356201,23.18315208009667,[0.06478034 0.05584512 0.23306031 0.24125093 0.12956069 0.27550261]
5,0.7968992248062016,30.710225582122803,0.8882005214691162,22.020725388601036,[0.06196078 0.05882353 0.23686275 0.22823529 0.14196078 0.27215686]
6,0.8367029548989113,31.223195552825928,0.8691959381103516,22.89364640883978,[0.06485671 0.05354449 0.23680241 0.23152338 0.13499246 0.27828054]
7,0.8111455108359134,30.14603018760681,0.8681962490081787,22.68094662290551,[0.06397563 0.05331302 0.22543793 0.23838538 0.14166032 0.27722772]
8,0.7931570762052877,30.823261976242065,0.8943939208984375,22.89364640883978,[0.05806938 0.05806938 0.23453997 0.23906486 0.1372549  0.27300151]
9,0.8193146417445483,31.98344659805298,0.8511922359466553,22.578974624546866,[0.06804281 0.05963303 0.21788991 0.23547401 0.14296636 0.27599388]
Folds Average,0.8091719549274374,30.964077591896057,0.8688429594039917,22.71602068402734,[]
